text,label
Has my flight to Chicago departed yet?,Flight Status
How much for a flight from LAX to ORD?,Fare Check
Tell me more about flight number DL987.,Flights Info
Do you provide medical assistance at the airport?,Medical Policy
How do I change the time of my flight?,Change Flight
Are there coupons for flights to Hawaii?,Discounts
Are there any restrictions on checking fishing gear?,Sports Music Gear
How much would it cost to add a person to my booking?,Fare Check
Is my laptop bag considered a personal item?,Carry On Luggage Faq
Need to cancel my ticket for next Tuesday.,Cancel Trip
Can you tell me about the inflight amenities?,Flights Info
My flight was delayed for 5 hours with no explanation.,Complaints
Flight status update for QR705 please.,Flight Status
What gate is my flight leaving from?,Flight Status
I need to fly with my guitar.,Sports Music Gear
Who do I talk to about a damaged bag?,Damaged Bag
Are there any senior citizen discounts available?,Discounts
I need to cancel my flight immediately.,Cancel Trip
"My luggage did not arrive, what should I do?",Missing Bag
I want to rebook my flight for a different day.,Change Flight
Can you find two seats together for me?,Seat Availability
What kind of aircraft is used for the flight to Dubai?,Flights Info
My bag with reference tag 12345 is lost.,Missing Bag
Can I bring a backpack and a small suitcase?,Carry On Luggage Faq
Are there any breed restrictions for pet travel?,Pet Travel
Are there any window seats left?,Seat Availability
There's a huge tear in my luggage.,Damaged Bag
Are liquids allowed in my carry-on?,Carry On Luggage Faq
What is the procedure for traveling with medical equipment?,Medical Policy
What items are not allowed on a flight?,Prohibited Items Faq
Tell me about the insurance options.,Insurance
Are there any seats available in business class?,Seat Availability
How much does it cost to check a bag?,Check In Luggage Faq
The wheel on my suitcase is broken.,Damaged Bag
Move my flight from the 15th to the 18th please.,Change Flight
Any deals for flying on a Tuesday?,Discounts
Can I check my golf clubs?,Sports Music Gear
What are the flight options for this route?,Flights Info
What does your travel insurance cover?,Insurance
Need to postpone my trip by one week.,Change Flight
How many carry-on bags am I allowed?,Carry On Luggage Faq
What's the process for cancelling a flight I booked online?,Cancel Trip
My suitcase is missing.,Missing Bag
Can I pack scissors in my carry-on?,Prohibited Items Faq
How do I add a pet to my reservation?,Pet Travel
Do you charge for carry-on bags?,Carry On Luggage Faq
I was charged an incorrect fee and I'm very upset.,Complaints
How can I change the destination of my booking?,Change Flight
Should I buy travel insurance for my trip?,Insurance
What's the weight limit for carry-on luggage?,Carry On Luggage Faq
What are the fees for checking a surfboard?,Sports Music Gear
Does the insurance cover medical emergencies?,Insurance
"I have a second bag to check, how much is it?",Check In Luggage Faq
What seats are open on flight F234?,Seat Availability
"I have a severe nut allergy, what is your policy?",Medical Policy
Can I get compensation for my damaged luggage?,Damaged Bag
Can I bring my cello as a carry-on?,Sports Music Gear
What is your policy on traveling with pets?,Pet Travel
Can you check the price of a ticket to Miami next month?,Fare Check
Can I add insurance to my booking now?,Insurance
What's the status of my lost baggage claim?,Missing Bag
How long does it usually take to find a lost bag?,Missing Bag
"The trip is off, need to cancel everything.",Cancel Trip
Is the 3pm flight to Atlanta delayed?,Flight Status
My bag came out on the carousel completely cracked.,Damaged Bag
Are there any restrictions on liquids?,Prohibited Items Faq
What are the size limits for a carry-on?,Carry On Luggage Faq
What's the policy on cancelling basic economy tickets?,Cancellation Policy
Do I need a doctor's note to fly while pregnant?,Medical Policy
Can you give me a fare estimate?,Fare Check
Are there discounts for checking bags online?,Check In Luggage Faq
"I have a promo code, where can I apply it?",Discounts
Do you offer any discounts for students?,Discounts
I need to change my flight date.,Change Flight
I'm looking for a discount on my next flight.,Discounts
How big can my personal item be?,Carry On Luggage Faq
